name,count
SQL,100
Radio Network Protocols, 70
Radio Network Parameters, 70
Radio Network Measurement, 70
Obj. O. Programming, 80
MATLAB,80
Web Development, 70
Embedded Programming, 70
Python,90
C/C++,50
smart card,20
German Speaking, 100
